name,address,latitude,longitude,rating,review_count,phone,website,place_id,types,zone,keyword_found
Manipal Hospital Sarjapur Road,"Survey no 45/2, ward. 150, Sarjapur - Marathahalli Rd, opposite Iblur, Amblipura, PWD Quarters, Ambalipura, Bellandur, Bengaluru, Karnataka 560102, India",12.9197624,77.6653013,4.4,10875,1800 102 4647,https://www.manipalhospitals.com/sarjapurroad/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Sarjapur+Hospital+GMB,ChIJYbankXATrjsRKSv7Mz8Xw-0,[],7,ophthalmology hospital
Aster Whitefield Hospital,"Sadaramangala, Plot No. 3 & 4, Main Road, off Whitefield, opposite ITPL Main Road, Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",12.9894945,77.7337373,4.7,9999,080 2302 1222,https://www.asterhospitals.in/hospitals/aster-whitefield-bangalore,ChIJKbNMTagRrjsRDX0itEVFtLE,[],7,ophthalmology hospital
Prakriya Hospitals bangalore,"8th Mile, Tumkur road Service road Nagasandra, Metro Pillar No 500, Havanur Layout, Bagalakunte, Bengaluru, Karnataka 560073, India",13.045939,77.5064944,4.6,7253,095137 33334,https://prakriyahospitals.com/,ChIJKy_EvdE8rjsRfgw9lyObVdo,[],9,eye hospital
Sakra World Hospital,"SY NO 52/2 & 52/3, Devarabeesanahalli, Varthur Hobli Opp Intel, Outer Ring Rd, Devarabisanahalli, Marathahalli, Bengaluru, Karnataka 560103, India",12.9323284,77.6851884,3.9,6882,080 4969 4969,https://www.sakraworldhospital.com/,ChIJLRq9dqYTrjsR217aIOhcAZs,[],7,eye institute
Shekar Eye Hospital,"633, Outer Ring Rd, Dollar Layout, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",12.9064733,77.59594510000001,4.9,6698,080 3533 3444,https://shekareyehospital.com/,ChIJwxXhohAVrjsRUJMHHy8ViXI,[],1,eye hospital
Sankara Eye Hospital Bangalore,"Varthur Main Rd, Vaikuntam Layout, Lakshminarayana Pura, Kundalahalli, Munnekollal, Bengaluru, Karnataka 560037, India",12.9563762,77.7130559,4.3,6297,080 6903 8900,http://www.sankaraeye.com/,ChIJGbYaOToSrjsR9H67N0eLqV8,[],1,eye hospital
"Apollo Spectra Hospitals - Koramangala, Bengaluru","Apollo Spectra Hospitals, 143, 1st Cross Rd, near Nagarjuna Hotel, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.9338741,77.62021399999999,4.6,6069,084484 40991,https://www.apollospectra.com/our-hospitals/bangalore/koramangala/multi-speciality-hospital-in-koramangala-bangalore/?utm_source=Google&utm_medium=GoogleMap&utm_campaign=GoogleMapKoramangala,ChIJ-5XX2loUrjsR4531obXnVgs,[],5,retina hospital
Dr Agarwals Eye Hospital,"33, Coles Rd, opposite Bata Showroom, Cleveland Town, Frazer Town, Bengaluru, Karnataka 560005, India",12.9962226,77.6127119,4.8,5752,095949 24186,https://www.dragarwal.com/eye-hospital/coles-road/?utm_source=locator&utm_medium=googleplaces,ChIJFULDvvMWrjsRcGgSqCCXsUI,[],3,eye institute
"Mirlay Eye Care, a unit of Dr Agarwals Eye Hospital","Police Station, 9, St Johns Church Rd, next to Bharati Nagar, Bharati Nagar, Shivaji Nagar, Bengaluru, Karnataka 560005, India",12.9911663,77.61268559999999,4.8,5236,095949 24297,https://www.dragarwal.com/eye-hospital/shivaji-nagar/?utm_source=locator&utm_medium=googleplaces,ChIJx26esfQWrjsRrRpNnC_8JfE,[],1,eye hospital
Dr Agarwals Eye Hospital,"No 50, 100 Feet Rd, next to Sony World Signal, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India",12.93644,77.6261645,4.8,5043,095949 24224,https://www.dragarwal.com/eye-hospital/koramangala/?utm_source=locator&utm_medium=googleplaces,ChIJc4QvyuAVrjsRqnSNJFRhfN4,[],1,eye hospital
Dr Agarwals Eye Hospital,"2557, 16th B Cross New Town, opposite Dhanalakshmi Bank, LIG 3rd Stage, Yelahanka Satellite Town, Yelahanka, Bengaluru, Karnataka 560064, India",13.0941276,77.5807009,4.5,5040,095949 24396,https://www.dragarwal.com/eye-hospital/yelahanka/?utm_source=locator&utm_medium=googleplaces,ChIJWz-j8mYYrjsRAVBzLsVfbZY,[],1,eye hospital
The Eye Foundation Eye Hospital - Bangalore,"Central Mall, 79/5, Outer Ring Rd, opp. to Bellandur, Diagonally, Bellandur, Bengaluru, Karnataka 560103, India",12.9236778,77.67245249999999,4.7,5023,089258 50387,https://www.theeyefoundation.com/eye-hospital-in-bangalore,ChIJOcULt3UTrjsRZYTm1urmprc,[],1,eye hospital
Dr Agarwals Eye Hospital,"No 16, Salapuria Zest Building, Bannerghatta Rd, opposite Shoppers Stop, Sarakki Industrial Layout, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",12.9122401,77.59942389999999,4.7,4652,095949 24181,https://www.dragarwal.com/eye-hospital/bannerghatta-road/?utm_source=locator&utm_medium=googleplaces,ChIJIwkYKgUVrjsRutCvcKuMgsc,[],1,eye hospital
Dr Agarwals Eye Hospital | Eye Specialists in Rajaji Nagar,"NKS Prime, Metro Station, No 60/417, 20th Main Rd, below Rajaji Nagar, 1st Block, 1st N Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.9999923,77.5500934,4.8,4469,095949 24291,https://www.dragarwal.com/eye-hospital/rajajinagar/?utm_source=locator&utm_medium=googleplaces,ChIJlzh0J-I9rjsRldDpJqpk71A,[],1,eye hospital
Dr Agarwals Eye Hospital | Eye Specialists in Indiranagar,"No 41, 80 Feet Rd, opposite Empire Restaurant, Hal, HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka 560075, India",12.9701841,77.6477945,4.6,4282,095949 24219,https://www.dragarwal.com/eye-hospital/indiranagar/?utm_source=locator&utm_medium=googleplaces,ChIJLZ1tsqAWrjsR0Qt28E6L-30,[],1,eye hospital
Dr Agarwals Eye Hospital,"30, 80 Feet Rd, opposite Medplus, RK Layout, RK Layout 2nd Stage, Padmanabhanagar, Bengaluru, Karnataka 560070, India",12.916921,77.559331,4.8,4020,095949 24274,https://www.dragarwal.com/eye-hospital/padmanabhanagar/?utm_source=locator&utm_medium=googleplaces,ChIJgwmwrdU_rjsRs44cCLJaICo,[],1,eye hospital
Dr Agarwals Eye Hospital,"1st Floor, No 02, Outer Ring Rd, adjacent Reliance Mart Point, Ittamadu, Phase 3, Banashankari, Bengaluru, Karnataka 560085, India",12.9271096,77.5472468,4.8,3965,095949 24182,https://www.dragarwal.com/eye-hospital/banashankari/?utm_source=locator&utm_medium=googleplaces,ChIJJX5lcyc-rjsRhgWywbjplcU,[],1,eye hospital
Dr Agarwals Eye Hospital,"1st Floor, Plot No 638, 80 Feet Road, near Reliance Trend, Ideal Homes Layout, Kenchenhalli, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",12.9294108,77.51433639999999,4.8,3527,095949 24292,https://www.dragarwal.com/eye-hospital/rr-nagar/?utm_source=locator&utm_medium=googleplaces,ChIJe7mX8BE_rjsRQraYKMftBYQ,[],1,eye hospital
Dr Agarwals Eye Hospital,"93, Whitefield Main Rd, next to Anand Sweets, Whitefield, Bengaluru, Karnataka 560066, India",12.9679015,77.74972679999999,4.4,3157,095949 24395,https://www.dragarwal.com/eye-hospital/whitefield/?utm_source=locator&utm_medium=googleplaces,ChIJSw5zofkNrjsRst9Hq_EpG0Y,[],6,eye hospital
ATREUM SPECIALITY HOSPITAL RR Nagar | Orthopedician | Gastroenterologist | Urologist | Neurologist | Physician,"Ideal Homes Layout, Kenchenhalli, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",12.9324739,77.515817,4.7,2894,080 6900 7474,http://www.atreumhospital.com/,ChIJI3eubUA_rjsRNwmMVbjy7H0,[],9,ophthalmology hospital
"Nethradhama Super Speciality Eye Hospital, Rajaji Nagar","30, 19th Main Road, LANDMARK:, near Navrang Theatr, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.9976158,77.55107389999999,4.8,2786,099728 53918,https://bit.ly/46wz97B,ChIJBTH794s9rjsRXvSYsEkHnFs,[],1,eye hospital
"Nethradhama Super Speciality Eye Hospital, Indira Nagar","Landmark: Madurai Idly Shop, 29, 80 Feet Rd, Hal, HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka 560075, India",12.9718996,77.64728530000001,4.8,2780,080 4333 2555,https://bit.ly/46wz97B,ChIJv5gaRqEWrjsRxvWmztFUpuU,[],1,eye hospital
"RxDx Clinics, Whitefield","Council Khata 180, 63, Kundalahalli Main Rd, Vishweshwariah, Industrial Area, Whitefield, Bengaluru, Karnataka 560048, India",12.9769101,77.7103909,4.5,2750,090140 91111,https://www.rxdx.in/,ChIJCSJmG3URrjsRHJJB0W_Dz9U,[],7,ophthalmology hospital
"GM Hospitals, Nagarabhavi","612, Nagarabhavi Main Rd, Vinayaka Layout, Papreddy Palya, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072, India",12.9612867,77.5116852,4.4,2625,099000 35235,http://www.gmhospitals.com/,ChIJO8Y8loE-rjsRj7PEACTj53w,[],9,eye institute
Devi Eye Hospital (Thubarahalli),"2nd Floor, CNS Complex, bus stop, 185, Varthur Main Rd, Opposite Thubarahalli, Kumarapalli, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066, India",12.9556003,77.7217202,4.9,2564,073488 46333,http://www.devieyehospital.org/,ChIJzSlrVAITrjsR8G1bKaCEYgc,[],1,eye hospital
Devi Eye Hospital HSR,"complex, 157/A, Outer Ring Rd, Opposite J.S.S.Public school, Near HSR BDA, Sector 5, 1st Block Koramangala, HSR Layout, Bengaluru, Karnataka 560102, India",12.9163484,77.6374257,4.8,2525,073385 47333,http://www.devieyehospital.org/,ChIJTwAYFHcTrjsRW6pqlP7cPDE,[],1,eye hospital
Vijaya Eye Clinic Super Speciality Eye Hospital,"Pv plaza,# 2,5th Main Road MC Layout, bus stop, opp. to Sarvajna, near govindharajanagra, CHBS Layout, signal, Vijayanagar, Bengaluru, Karnataka 560040, India",12.9756018,77.538794,4.9,2517,097393 02523,https://vijayaeyeclinic.com/,ChIJK47RIuY9rjsRQaJi0GuY4lU,[],1,eye hospital
"Vasan Eye Hospital - (Banaswadi, Bengaluru)","Building No, 205/4C, CMR Main Rd, nearby Hennur Depot, HRBR Layout 3rd Block, HRBR Layout, Banaswadi, Bengaluru, Karnataka 560043, India",13.0243335,77.6329195,4.7,2473,1800 571 2222,https://clinic.vasaneye.com/vasan-eye-care/stores-in-bengaluru/stores-in-Banaswadi/vasan-eye-care-hospital-in-Banaswadi-bengaluru--3aZIMK/home,ChIJFxnn3SIXrjsRbqyelS-2Zko,[],1,eye hospital
Vydehi Hospital,"#82, Nallurahalli Main Rd, near BMTC 18th Depot, Vijayanagar, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",12.9757752,77.7294426,3.7,2365,080 4906 9000,https://vims.ac.in/vims-hospital/,ChIJIy4WaPYRrjsRBZfcU6n_l3o,[],7,eye institute
Vijaya Nethralaya Super Speciality Eye Hospital,"XGF7+Q7 Ring Road underpass, 5, 18th Cross Rd, Malagala, Marilingappa Extension, Naagarabhaavi, Bengaluru, Karnataka 560072, India",12.9745359,77.5131238,4.7,2329,078924 92098,https://vijayanethralaya.com/,ChIJOyRlfzI8rjsROgzKUwR0Tj0,[],1,eye hospital
"Vasan Eye Hospital - (Ganganagar, Bengaluru)","No 533, Vijayalakshmi Arcade, Bus Stand, opposite Ganga Nagar, Bilappa Garden, Ganganagar, Bengaluru, Karnataka 560032, India",13.0250927,77.5919653,4.8,2238,08071 264 522,https://clinic.vasaneye.com/hospital-locator/bengaluru/ganganagar/vasan-eye-hospital-in-ganganagar-bengaluru--7Adebk/home,ChIJQ2O0QboXrjsRiCY99j-6r2E,[],1,eye hospital
Dr.Solanki Eye Hospital,"191/1, Link Road, 2nd Cross Rd, Malleshwaram, Bengaluru, Karnataka 560003, India",12.9951329,77.5738403,4.8,2212,080 2356 2299,http://www.drsolankieyehospital.com/,ChIJlegbUjsWrjsRj4WbzMYOmcM,[],1,eye hospital
"Vasan Eye Hospital - (Rajajinagar, Bengaluru)","First Block, No 46, 19th Main Rd, nearby Decor Store, 1st Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.9994993,77.55068109999999,4.8,1835,08071 264 521,https://clinic.vasaneye.com/vasan-eye-care/bengaluru/rajajinagar/vasan-eye-care-hospital--55p0dL/home,ChIJJ5LeUoU9rjsRo_quZivik1k,[],1,eye hospital
"Vasan Eye Care Hospital - (Jayanagar, Bengaluru)","No 28/ 29, 7th Main Rd, opposite Vinayaka Temple, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",12.9291873,77.5820707,4.8,1791,1800 571 2222,https://clinic.vasaneye.com/vasan-eye-care/stores-in-bengaluru/stores-in-Jayanagar/vasan-eye-care-hospital-in-Jayanagar-bengaluru--2fwSoZ/home,ChIJ-3aq4pgVrjsR1zPgk3kT3MA,[],1,eye hospital
Belaku Eye Hospital,"1st Cross, Ring Road, Kengeri Upanagar Stage II, 769, 1st Main Rd, near Railway Bridge, Manasa Layout, Stage I, Kengeri Satellite Town, Bengaluru, Karnataka 560060, India",12.9110234,77.48003729999999,4.9,1760,095139 51309,N/A,ChIJC6QVyyg_rjsR8Pm71BHFzHA,[],1,eye hospital
Springleaf Hospital,"60/3, Hosur Rd, next to Union Bank, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100, India",12.8525896,77.6675444,4.2,1700,074111 22444,https://www.springleaf-healthcare.com/,ChIJJaoWAYRsrjsRIdkg92tsqqc,[],4,ophthalmology hospital
Manjunatha Nethralaya Eye Hospital,"Ammaji Complex, 44, Hesarghatta Rd, beside Royal mart, Bhuvaneshwari Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057, India",13.0497552,77.5079257,4.9,1676,091486 78585,http://www.manjunathanethralaya.com/,ChIJ50VCV489rjsRfvx2UVxnMrU,[],1,eye hospital
"Narayana Nethralaya, Whitefield, Eye Hospital","metro station, Plot 3-C, next to Seetharamapalya, Phase I, Doddanakundi Industrial Area 2, Seetharampalya, Mahadevapura, Bengaluru, Karnataka 560048, India",12.980666,77.7094363,4.9,1655,080669 74000,https://www.narayananethralaya.org/,ChIJkRDUBAARrjsROYB_U6CUls8,[],1,eye hospital
Devi Eye Hospital Koramangala,"80 Feet Main Road, 434, 18th Main Rd, Opposite BMTC Bus depot, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.9411663,77.6239066,4.6,1461,098805 70094,http://www.devieyehospital.org/,ChIJj5suukYUrjsRWjJlYDfqHR8,[],1,eye hospital
"Vasan Eye Care Hospital - (Marathahalli, Bengaluru)","23/36, Outer Ring Rd, opposite Kalaniketan, Anand Nagar, Chinnappanahalli, Marathahalli, Bengaluru, Karnataka 560037, India",12.9611404,77.7012977,4.6,1418,1800 571 2222,https://clinic.vasaneye.com/vasan-eye-care/stores-in-bengaluru/stores-in-Marathahalli/vasan-eye-care-hospital-in-Marathahalli-bengaluru--7mEaPU/home,ChIJndRh8CwSrjsRAHcTAJ0nZe0,[],1,eye hospital
"Altius Multi-speciality Hospital, HBR Layout","511, Outer Ring Rd, 5th Block, HBR Layout 4th Block, HBR Layout, Bengaluru, Karnataka 560043, India",13.0344841,77.62918069999999,4.5,1385,088827 99799,https://www.altiushospital.com/,ChIJDfTzg1oXrjsRfLbXDJBX5aE,[],3,ophthalmology hospital
NELIVIGI EYE HOSPITAL,"450/435/10, Behind Kanti Sweets, Bellandur - Doddakannelli Road, WMFF+FHP, Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103, India",12.9239928,77.6736726,4.8,1382,080 4370 5050,https://www.nelivigieyehospital.com/,ChIJs8kaC3UTrjsRqCcBmfVafV8,[],1,eye hospital
Abhayahasta Multispeciality Hospital,"347/247 2 nd cross, Kaggadasapura Main Rd, Varsova Layout, C V Raman Nagar, Bengaluru, Karnataka 560093, India",12.9854019,77.6724603,3.7,1302,079752 06208,http://www.abhayahastahospital.com/,ChIJAwHTpUMRrjsRXZShuDRi4T4,[],3,ophthalmology hospital
MVJ Hospital,"Dandupalya, 30th Km Milestone Kolathur P.O, NH 75, Dandupalya, Hoskote, Karnataka 562114, India",13.0775142,77.81162239999999,4.0,1300,N/A,https://mvjmc.edu.in/,ChIJhYwoDo0FrjsRZSqS0kX-unA,[],7,ophthalmology hospital
"Nethradhama Super Speciality Eye Hospital, Whitefield","Prasad Technology Park Pvt Ltd, Tower A Ground Floor, Survey No. 152, Metro Station, 97, Rd Number 2, behind Nallurhalli, Industrial Area, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, India",12.976258,77.7259802,4.9,1251,080 6264 6800,https://bit.ly/46wz97B,ChIJB1DsLpoRrjsRMUCBbdCAEk0,[],1,eye hospital
Nandi hospital Kengeri,"80 Feet Rd, Jnanabharathi Extension, Gnanabharathi, hoysala circle, Kengeri, upanagar, Bengaluru, Karnataka 560060, India",12.9244005,77.4865629,4.9,1249,074115 22380,http://www.nandihospital.com/,ChIJQ9uudUQ_rjsRqjmO2H7IKiE,[],9,ophthalmology hospital
"Vasan Eye Care Hospital - (Bommanahalli, Bengaluru)","Building No 54/1, CR Complex, Metro Station, Hosur Rd, nearby Bommanahalli, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru, Karnataka 560068, India",12.9099495,77.6263017,4.6,1232,1800 571 2222,https://clinic.vasaneye.com/vasan-eye-care/stores-in-bengaluru/stores-in-Bommanahalli/vasan-eye-care-hospital-in-Bommanahalli-bengaluru--7I9tNh/home,ChIJbf3zrwUVrjsRXN2SRdEIhdI,[],1,eye hospital
SDM Institute of Ayurveda & Hospital,"Sdm Institute Of Ayurveda, NH 275, Anchepalya, Challegatta, Bengaluru, Karnataka 560074, India",12.8934758,77.45745219999999,4.5,1213,N/A,http://www.sdmayurbangalore.in/,ChIJTax-kMc4rjsRHoVTaep38cw,[],9,eye institute
"Vasan Eye Care Hospital - (HSR Layout, Bengaluru)","First Floor, No 1127/A, 17th Cross Rd, nearby BDA Complex, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India",12.9122698,77.634965,4.6,1186,1800 571 2222,https://clinic.vasaneye.com/vasan-eye-care/stores-in-bengaluru/stores-in-HSR-Layout/vasan-eye-care-hospital-in-HSR-Layout-bengaluru--5ZLiJz/home,ChIJ1Q_1c5IUrjsRYF_xWmPt3X0,[],1,eye hospital
Medwell Multi-specialty Hospital And Diagnosis Centre,"Hosa Rd, Balaji Layout, Sai Sree Layout, Choodasandra, Bengaluru, Karnataka 560100, India",12.8778157,77.6719099,4.6,1103,091085 64264,https://medwellhospitals.com/,ChIJrzJGibRsrjsRBUTKina6pU4,[],7,ophthalmology hospital
"Globe Eye Foundation at Hoskote, Karnataka","AIR Extension, Old Madras Rd, NH4, M V Extenstion, Hoskote, Karnataka 562114, India",13.067277,77.78025269999999,4.9,1032,080 2970 0230,https://www.globeeye.org/,ChIJV35VRX0FrjsRbkNLKJ_5fg4,[],6,cataract hospital
Nurture Multispeciality Clinic,"76/1B, Doddakannelli - Kaadubeesanahalli Rd, next to New Horizon Gurukul School, Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103, India",12.9344962,77.6970169,4.6,992,087927 11450,https://nurtureclinic.co.in/,ChIJaZf5m6gTrjsRaAVCb7_xph0,[],5,retina hospital
Shifaa Hospital,"Dar-us-salam Building, 332, Queens Rd, Govinda Chetty Colony, Vasanth Nagar, Bengaluru, Karnataka 560001, India",12.9896582,77.59916439999999,4.1,967,080 4000 7300,http://www.shifaahospital.org/,ChIJfWwbznoWrjsRJuD7hrh99wE,[],3,ophthalmology hospital
"KIMS Hospitals, Mahadevapura","Survey No. 36/5, Outer Ring Road Doddanekkundi, Hobli, K.R. Puram, Mahadevapura, Bengaluru, Karnataka 560037, India",12.9796274,77.69420219999999,4.9,965,080 4412 3456,https://www.kimshospitals.com/bengaluru-mahadevapura/,ChIJRx_tfJwRrjsRFoxDqwPVxus,[],7,eye institute
People Tree Hospitals @ Hanumantha Nagar,"25th Main Road, 979, 50 Feet Main Rd, 1st Block, Hanumanthnagar, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050, India",12.9420542,77.5536034,4.4,964,080 2675 5800,http://www.peopletreehospitals.com/,ChIJzeZgZCI-rjsR2SX9CDOWCbU,[],5,ophthalmology hospital
MARIGOLD HOSPITALS,"243, 7th Cross Rd, Mico Layout, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India",12.9136397,77.6045281,4.2,933,080 4672 9555,http://marigoldhospitals.com/,ChIJG9AeBAMVrjsRY-Ydt49jSc4,[],4,ophthalmology hospital
SACRED OAK HOSPITAL - ELECTRONIC CITY,"Hosur Rd, opposite D'mart, BTM Phase 1, Phase II, Electronic City, Bengaluru, Karnataka 560100, India",12.8434317,77.6753325,4.6,933,080503 04155,http://www.sacredoakhospital.com/,ChIJw-2cFxFtrjsRCN_dH8GF0Ks,[],5,ophthalmology hospital
Dr Agarwals Eye Hospital,"2nd Floor, Himagiri High Street. 106/1 Electronic City, Electronic City Phase I, Doddathoguru, Bengaluru, Karnataka 560100, India",12.8420177,77.643911,4.6,914,095949 03749,https://www.dragarwal.com/eye-hospital/electronic-city/,ChIJ1ZgEiHptrjsRZJYBtUxOfTo,[],1,eye hospital
Unity Lifeline Hospital India Private Limited,"Outer Ring Rd, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072, India",12.9819005,77.5108967,3.9,891,099000 31831,N/A,ChIJwWWIJDQ8rjsR9fhQRgwvQSo,[],9,eye institute
The Eye Foundation | Eye Hospital in Whitefield,"840/582/25/1, Varthur Rd, above Kanti Sweets, Gunjur Village, Varthur, Bengaluru, Karnataka 560087, India",12.9313572,77.74192359999999,4.9,878,091765 03279,https://www.theeyefoundation.com/,ChIJa9IefcITrjsRooNuPa4FOBQ,[],6,eye hospital
"Narayana Multispeciality Hospital, Whitefield English","Plot No. 3&4, ITPL Main Rd, opp. to ITPL Main Gate, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka 560048, India",12.9895255,77.7337098,3.7,798,080675 06870,https://www.narayanahealth.org/?utm_source=Google&utm_medium=GMB,ChIJl7t3YO8RrjsR10V1gnHPAF0,[],7,ophthalmology hospital
Surgecare Super Speciality Hospital,"Site No 1&2, 5th Cross, Ramamurthi Nagar Main Rd, near Ramamurthy nagar, Dayananda Layout, Signal, Ramamurthy Nagar, Bengaluru, Karnataka 560016, India",13.0128901,77.6644477,4.6,776,087628 35599,http://www.surgecaressh.com/,ChIJYxmcMWERrjsRkhZfr9HAjH8,[],7,ophthalmology hospital
Vittala International Institute of Ophthalmology,"2nd Cross, 7th block, 1, 2nd Main Rd, 2nd Phase, Banashankari 3rd Stage, Hosakerehalli, Bengaluru, Karnataka 560085, India",12.9307694,77.54094520000001,4.8,761,080 2672 2214,http://www.viio.org/,ChIJj6kdiDc-rjsRyFr_6Lmpd84,[],1,eye institute
Sankalpa Multispeciality Hospital,"47/2, Kothnur Dinne Main Rd, near BK circle, opposite to Vishal mega mart, 8th Phase, Kalena Agrahara, Bengaluru, Kothnur, Karnataka 560076, India",12.872508,77.58370239999999,4.8,758,096060 26006,http://sankalpa-hospitals.com/,ChIJr-_jvqwVrjsR0ljvLXINSRY,[],5,ophthalmology hospital
Ekana Multi Specialty Hospitals,"110, Begur Rd, Akshaya Residency, Begur, Bengaluru, Karnataka 560114, India",12.870509,77.6240364,4.7,734,088844 48325,http://www.ekanahospital.com/,ChIJ34zeP_cVrjsRWpcYh5dA4hg,[],5,ophthalmology hospital
Sri Lakshmi Super Speciality Hospital,"301, 3rd Main Rd, near Indane Gas, V B Layout, Old Extension, Krishnarajapuram, Bengaluru, Karnataka 560036, India",13.0111064,77.6973173,4.2,732,099017 11716,N/A,ChIJBXg3MAcRrjsRoF_JBrVqs-8,[],7,retina hospital
Sri Arogya Hospital 24x7,"76 93, Kalkere Main Road, opp. More Super market, Akshaya Nagar 2nd Block, Kowdenahalli, Ramamurthy Nagar, Bengaluru, Karnataka 560016, India",13.0196155,77.67822149999999,4.4,675,097417 64148,https://sriarogyahospitals.com/,ChIJeWGkcsgRrjsRJR-M2P2Ouq4,[],7,ophthalmology hospital
